language,category,exam_type,name,content,plan
Indonesien,Jantung dan pembuluh darah,Scanner,CT angiografi aorta dan ekstremitas bawah,"Indikasi klinis: 
[Akan diselesaikan]
 Teknik pencitraan: 
Suntikan produk kontras beryodium dengan perolehan pada fase arteri pada aorta dan arteri ekstremitas bawah.
Kualitas injeksi bagus hingga segmen distal.
 Temuan: 
Arteri aorta dan perut:
Aorta infrarenal: kaliber normal dan teratur.
Batang seliaka: normal, kaliber teratur, tidak ada variasi anatomi atau stenosis ostial.
Arteri mesenterika superior: paten, tidak ada stenosis yang berarti.
Arteri ginjal kanan dan kiri: paten, tidak ada stenosis yang berarti.
Arteri mesenterika inferior: terlihat dan paten, tidak ada stenosis yang berarti.
Sumbu iliofemoral kanan:
Arteri iliaka primer, internal dan eksternal: paten.
Arteri femoralis komunis dan superfisial: paten.
Arteri fibula poplitea, tibialis anterior dan posterior: paten.
Sumbu iliofemoral kiri:
Arteri iliaka primer, internal dan eksternal: paten.
Arteri femoralis komunis dan superfisial: paten.
Arteri fibula poplitea, tibialis anterior dan posterior: paten.
Tingkat abdominopelvis:
Tidak adanya lesi fokal mencurigakan yang terdeteksi.
 Kesimpulan: 
Aorta abdominalis, arteri iliaka dan arteri ekstremitas bawah paten, tanpa stenosis yang berarti.
Tidak ada lesi intra-abdomen fokal.",pro
Indonesien,Jantung dan pembuluh darah,Scanner,Trombosis Vena Serebral (atau tromboflebitis serebral),"Indikasi klinis: 
[Akan diselesaikan]
 Teknik pencitraan: 
Akuisisi tanpa kemudian dengan injeksi produk kontras beryodium.
 Temuan: 
Tingkat infratentorial:
Segmen median V4 normal.
Tidak ada kelainan kepadatan batang otak atau parenkim serebelum.
Tangki pangkalan gratis.
Tingkat supratentorial:
Parenkim otak dengan kepadatan normal, tanpa kelainan fokal.
Sistem ventrikel dengan morfologi normal.
Struktur median sudah terpasang.
Tidak adanya peningkatan kontras patologis.
Patenkan sinus durmer.
 Kesimpulan: 
 CT otak tanpa kelainan.
Tidak ada tanda-tanda trombosis vena serebral (CVT).",pro
Indonesien,"Thorax, perut dan panggul",Scanner,Pemindai Thoraco-abdomino-panggul (asli),"Indikasi klinis: 
[Akan diselesaikan]
 Teknik pencitraan: 
Akuisisi heliks setelah injeksi intravena produk kontras beryodium pada fase portal.
 Temuan: 
Hati: ukuran dan morfologi normal, tanpa lesi fokal yang mencurigakan.
Pembuluh darah hepatik: permeabilitas sistem portal dan vena hepatik dipertahankan.
Saluran empedu dan kandung empedu: tidak ada dilatasi, kandung empedu tanpa litiasis padat.
Organ abdominopelvis lainnya: pankreas, limpa, adrenal, ginjal, saluran kemih dan kandung kemih tanpa kelainan berarti.
Saluran pencernaan: kaliber dan dinding normal, asalkan tidak ada persiapan pencernaan.
Rongga peritoneum: tidak ada efusi, tidak ada pengumpulan, tidak adanya pneumoperitoneum.
Nodus: tidak ada adenomegali subdiafragma.
Aorta dan batang utama: tidak ada kelainan yang berarti (pemeriksaan tidak khusus).
Retroperitoneum dan panggul: biasa-biasa saja, tidak ada efek massa panggul.
Thoraks dan tulang: dasar toraks normal, tidak ada lesi tulang yang mencurigakan.
 Kesimpulan: 
Pemindaian abdominopelvis normal, tidak ada kelainan yang terdeteksi.",pro
Indonesien,"Thorax, perut dan panggul",Scanner,Pemindaian Thoraco-Abdomino-Pelvic) - disuntikkan,"Indikasi klinis: 
[Akan diselesaikan]
 Teknik pencitraan: 
Akuisisi heliks dengan rekonstruksi potongan halus, dilakukan tanpa dan dengan injeksi produk kontras.
 Temuan: 
Studi toraks:
Parenkim paru dengan kepadatan normal, tanpa kelainan fokal.
Tidak ada efusi pleura atau perikardial.
Tidak adanya adenomegali mediastino-hilar, aksila atau supraklavikula.
Ruang jantung dan pembuluh darah mediastinum besar masih utuh.
Pemeriksaan perut:
Hati berukuran normal, kontur teratur, kepadatan dan pembesaran homogen, tanpa lesi fokal.
Saluran empedu intra dan ekstra hepatik tidak melebar.
Kandung empedu dengan volume normal, tanpa kelainan parietal.
Limpa, pankreas, ginjal dan adrenal tampak normal.
Tidak ada adenomegali intra atau retroperitoneal.
Tidak adanya efusi intraperitoneal.
Studi tulang:
Tidak ada lesi tulang yang progresif.
 Kesimpulan: 
 CT torako-abdomino-panggul tanpa anomali yang terdeteksi.",pro
Italien,Addome e bacino,Echographie,Ecografia addominopelvica,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
- Fegato di dimensioni, ecogenicità e morfologia normali, senza lesioni focali sospette identificate.
- Permeabilità del sistema portale, con flusso epatopeto.
- Pervietà delle vene epatiche, con flusso epatofugo.
- Permeabilità della vascolarizzazione arteriosa epatica.
- Cistifellea senza litiasi e senza anomalie parietali, in particolare nessun segno di infiammazione.
- Assenza di dilatazione dei dotti biliari.
- Milza di dimensioni normali.
- Reni di dimensioni, ecogenicità e morfologia normali, senza lesioni focali sospette identificate.
- Vascolarizzazione renale globale preservata al color Doppler.
- Assenza di dilatazione pielocaliciale (ureteri nascosti da interposizioni aerodigestive).
- Vescica insignificante.
- Pancreas di analisi limitata (interposizioni aerodigestive), senza anomalia visibile.
- Aorta pervia, analisi limitata (interposizioni aerodigestive), senza anomalia visibile.
- Apparato digerente di analisi limitata (interposizioni aerodigestive), senza anomalia visibile.
- Assenza di versamento peritoneale.
 Conclusione: 
Assenza di anomalia significativa rilevata, soggetta ad interventi aerodigestivi",pro
Italien,Addome e bacino,Echographie,Ecografia dell'appendicite,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
- Appendice latero-cecale interna, di calibro normale, con parete ben differenziata.
- Assenza di infiltrazione del grasso peri-appendicolare.
- Nessun versamento intraperitoneale.
- Integrità dell'intersezione ileo-cecale e dell'ultima ansa ileale.
Inoltre,
- Fegato, milza, reni e pancreas senza anomalie.
- Vescica in semi-riplezione, con contenuto anecogeno.
 Conclusione: 
- Nessun segno ecografico che suggerisca un'appendicite acuta.",pro
Italien,Addome e bacino,Echographie,Idrocolecistite,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
-Il fegato è di dimensioni normali, contorni regolari ed ecostruttura iperecogena omogenea della steatosi.
-La cistifellea è distesa (12,7x4,9 cm), con contenuto anecogeno, con una parete sottile misurata a 2,7 mm a monte di un calcolo voluminoso di 40 mm al collo così come altri microcalcoli mobili multipli da 4 a 6 mm. 
- Il segno acustico di Murphy è positivo.
-I dotti biliari intra ed extraepatici non sono dilatati. (da Via Biliare Principale a 6,1 mm) 
-Entrambi i reni sono di dimensioni normali con contorni regolari con buona differenziazione cortico-midollare.
-Assenza di dilatazione delle cavità escretrici o immagine rilevabile di calcoli.
-Il pancreas è omogeneo, di dimensioni normali. Il Wirsung va bene.
-La milza è senza anomalie.
-Nessun versamento intraperitoneale libero.
 Conclusione: 
Aspetto ecografico di un'idrocolecisti calcoli.",pro
Italien,Addome e bacino,Echographie,colecistite acuta calcolitica,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
-Il fegato è aumentato di dimensioni (freccia 22 cm davanti al rene destro), contorni regolari ed ecostruttura iperecogena omogenea. 
-La cistifellea è distesa, simile a un sasso, con una parete ispessita e spaccata. 
-I dotti biliari intra ed extraepatici non sono dilatati.
-Il Via Biliare Principale misura 5,6 mm, con contenuto liquido
-Entrambi i reni sono di dimensioni normali con contorni regolari con buona differenziazione cortico-midollare.
-Assenza di dilatazione delle cavità escretrici o immagine rilevabile di calcoli.
-Il pancreas e la milza non presentano anomalie.
-Assenza di raccolta o versamento intraperitoneale.
 Conclusione: 
Aspetto ecografico di colecistite acuta simile a calcoli.",pro
Italien,Renale,Echographie,Ecografia renale,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
A destra 
- Rene di dimensioni normali, contorni regolari, corteccia di spessore conservato.
- Assenza di dilatazione delle cavità escretrici.
- Assenza di immagine di calcolo rilevabile.
A sinistra:
- Rene di dimensioni normali, contorni regolari, corteccia di spessore conservato.
- Assenza di dilatazione delle cavità escretrici.
- Assenza di immagine di calcolo rilevabile.
- La vescica ha pareti sottili, con contenuto anecogeno 
 Conclusione: 
Ecografia renale senza anomalie",pro
Italien,Renale,Echographie,Dilatazione senza ostacoli,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
Dilatazione delle cavità escretrici con DAPP = mm senza ostacolo visibile.
Il peritoneo: assenza di versamento intraperitoneale.
Vescica: in semi-rifornimento di contenuto anecogeno.
 Conclusione: 
Dilatazione delle cavità escretrici.....con/senza ostacolo visibile.",pro
Italien,Renale,Echographie,Eco renovesico-prostatico,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
- Entrambi i reni sono a posto, dimensioni normali, contorni regolari, buona differenziazione cortico-midollare e cortico-sinusale.
- Il parenchima è di spessore normale.
- Nessuna dilatazione delle cavità escretrici.
- Nessuna immagine di calcolo rilevabile.
Integrità del grasso perirenale.
- Vescica semi-ripiena di contenuto anecogeno.
- La prostata viene esplorata per via sovrapubica con un peso ecografico stimato in g.
- Nessun numero di giri.
 Conclusione: 
Ipertrofia prostatica a g senza impatto sulle vie urinarie superiori.",pro
Italien,Muscoloscheletrico,Echographie,Ecografia della spalla,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
- Il tendine del muscolo bicipite lungo è a posto, con ecostruttura e morfologia normali.
- Il tendine soprascapolare non è disinserito.
- I tendini dei muscoli sovraspinato e infraspinato sono continui, con una normale ecostruttura fibrillare.
- Assenza di versamento a livello della borsa subacromiodeltoidea.
- Integrità dell'articolazione acromionclavicolare.
- Assenza di conflitto prima delle manovre dinamiche.
 Conclusione: 
Ecografia della spalla senza anomalie.",pro
Italien,Otorinolaringologia,Echographie,Ecografia cervicale,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
Tiroide di dimensioni normali:
- lobo sinistro: A x B x C mm; X ml;
- lobo destro: A x B x C mm; X ml;
- istmo: “A” mm spesso.
Parenchima tiroideo con normale ecogenicità.
Vascolarizzazione normale.
Assenza di nodulo tiroideo.
Assenza sospetta di linfonodi nelle catene linfonodali cervicali.
Aspetto ecografico normale delle ghiandole salivari parotidee e sottomandibolari.
- Assenza di adenomegalia cervicale.
 Conclusione: 
Ecografia cervicale senza anomalie.",pro
Italien,Parti morbide,Echographie,Ecografia dell'apparato testicolare,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
Ecografia scrotale
 Reperti: 
Testicoli (Didyma):
Dimensioni, contorni ed ecostruttura normali.
A destra: A x B x C mm; X ml;
A sinistra: A x B x C mm; X ml;
Parenchima omogeneo senza lesione focale. Termina la Rete testis.
Vascolarizzazione intraparenchimale simmetrica e conservata.
*Epididimo:
Teste, corpi e code di morfologia normale, non ispessiti.
Ecostruttura omogenea, vascolarizzazione normale.
*Buste e scroto:
Vetrini vaginali sottili, assenza di idrocele o versamento.
Pareti scrotali non ispessite.
Cordoni spermatici (Ricerca varicocele):
Plessi pampiniformi di calibro normale.
Assenza di reflusso venoso patologico a riposo e durante le manovre di Valsalva.
Regioni inguinali e retroperitoneo (scansione):
Aperture inguinali libere (nessuna ernia).
Reni e retroperitoneo senza anomalie macroscopiche visibili (nessuna dilatazione delle cavità o della massa pielo-caliceale).
 Conclusione: 
Ecografia scrotale insignificante.
Assenza di lesioni testicolari o epididimali.
Nessun argomento per un varicocele o un'ernia inguinale.",pro
Italien,Parti morbide,Echographie,Ecografia inguinale bilaterale,"Indicazione clinica: 
Indagine su un'ernia inguinale (sinistra/destra) in un paziente noto...
 Tecnica di imaging: 
Ecografia della parete addominale e delle regioni inguinali con manovre dinamiche (Valsalva).
 Reperti: 
L'esplorazione della regione inguinale sinistra/destra (e dell'altro lato se necessario) non rivela un sacco erniario. Le aperture inguinali sono libere. L'esame a riposo, in stazione eretta e durante la spinta addominale (Valsalva) è negativo.
 Conclusione: 
Assenza di ernia inguinale clinicamente ed ecograficamente significativa (bilateralmente se sono stati esaminati entrambi i lati).",pro
Italien,Parti morbide,Echographie,Ecografia oculare,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
DESTRA:
- L'occhio destro misura mm nel suo diametro anteroposteriore.
- La camera anteriore misura mm.
- Il segmento posteriore misura mm.
- La lente è ecogena nella posizione normale.
- Il vitreo è anecogeno.
- Nessun segno di distacco di retina associato.
- La papilla è a posto.
A SINISTRA:
- L'occhio sinistro misura mm nel suo diametro anteroposteriore.
- La camera anteriore misura mm.
- Il segmento posteriore misura mm.
- La lente è ecogena nella posizione normale.
- Il vitreo è anecogeno.
- Nessun segno correlato al distacco della retina.
- La papilla è a posto.
 Conclusione: 
[Da completare]",pro
Italien,Parti morbide,Echographie,lipoma,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
La tumefazione palpata clinicamente corrisponde all'ecografia ad una formazione sottocutanea superficiale ovale, ipoecogena attraversata da trabecole iperecogene, di dimensioni pari a circa 47 mm, senza evidente vascolarizzazione al color Doppler, suggestiva di un lipoma.
 
 Conclusione: 
[Da completare]",pro
Italien,Vascolare,Echographie,Tronchi sopra-aortici,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
A destra:
Carotide comune: pervia, senza anomalie significative.
Bulbo carotideo: pervio con flusso alquanto turbolento, con alcune placche di ateromatosi mista, senza stenosi significative.
Arteria carotide interna extracranica: pervia, con alcune placche di ateromatosi mista che causano una stenosi di circa <25%, senza impatto emodinamico al color Doppler e al Doppler pulsato.
Carotide esterna prossimale: pervia.
Arteria vertebrale extracranica (analisi limitata della porzione V2): pervia, con direzione di flusso fisiologica, senza anomalia significativa.
A sinistra:
Carotide comune: pervia, senza anomalie significative.
Bulbo carotideo: pervio, senza anomalie significative.
Arteria carotide interna extracranica: pervia, senza anomalie significative.
Carotide esterna prossimale: pervia.
Arteria vertebrale extracranica (analisi limitata della porzione V2): pervia, con direzione di flusso fisiologica, senza anomalia significativa.
 Conclusione: 
[Da completare]",pro
Italien,Vascolare,Echographie,Doppler delle arterie renali,"Indicazione clinica: 
Paziente di XX anni. Insufficienza renale (acuta/cronica). Ricerca di ostruzione o stenosi delle arterie renali.
 Tecnica di imaging: 
[Da completare]
 Reperti: 
Rene destro: dimensioni normali (XX cm), buona differenziazione cortico-midollare. Assenza di dilatazione delle cavità pielo-caliceali.
Doppler: arteria e vena pervia. Flusso arterioso modulato, breve tempo di salita sistolica. Indice di resistenza (IR) mantenuto (0,XX). Velocità sistolica massima (MSV): XX cm /s all'ostio, XX cm /s all'ilo.
Rene sinistro: dimensioni normali (XX cm), buona differenziazione cortico-midollare. Assenza di dilatazione delle cavità pielo-caliceali.
Doppler: arteria e vena pervia. Flusso arterioso modulato, breve tempo di salita sistolica. IR mantenuto (0,XX). VSM: XX cm /s all'ostio, XX cm /s all'ilo.
Vescica: abbondante, transonica, a pareti sottili.
Prostata: non visualizzata (o non valutata).
 Conclusione: 
Reni con morfologia ed ecostruttura normali.
Nessuna dilatazione delle vie escretorie.
Doppler renale normale senza evidenza di stenosi delle arterie renali (buona perfusione parenchimale bilaterale).",pro
Italien,Vascolare,Echographie,TVP Doppler arti inferiori,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
-Le vene iliaca esterna, femorale comune e superficiale e poplitea sono permeabili e comprimibili sotto la sonda.
-Le vene tibiali anteriore, posteriore e peroneale sono permeabili e comprimibili sotto la sonda.
- Brevetto IVC.
- Nessun segno ecografico di tromboflebite dell'arto inferiore.
 Conclusione: 
[Da completare]",pro
Italien,Vascolare,Echographie,Doppler venoso delle vene varicose,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
Rete venosa profonda: vena cava inferiore, vene iliache destra e sinistra permeabili, comprimibili, a parete sottile. A destra come a sinistra: tronchi collettori femoropoplitei e vene surali permeabili, comprimibili, a parete sottile. 
Rete venosa superficiale: Assenza di trombosi venosa superficiale. 
Nell'ortostatismo:
• Grande safena destra: ostio e arco continente, quindi incontinenza tronculare della GVS dal terzo superiore della coscia (8 mm) alla porzione della gamba che alimenta un fascio varicoso nel terzo inferiore della gamba (perforanti della gamba incontinente). Presenza di due dilatazioni principali misurate a 12 mm (terzo superiore della coscia e terzo superiore della gamba appena sotto il ginocchio).
• Grande safena sinistra: ostio e arco continente, quindi incontinenza troncale della GVS dal terzo superiore della coscia (6 mm) alla porzione della gamba che fornisce un fascio varicoso nel terzo inferiore della gamba e alla caviglia (perforanti della gamba incontinente). Presenza di due dilatazioni misurate a 10 mm nel terzo superiore della gamba e 9 mm nel terzo inferiore della gamba.
• Piccole vene safene destra e sinistra: continenti.
 Conclusione: 
Insufficienza venosa superficiale bilaterale degli arti inferiori, correlata all'incontinenza del tronco delle grandi vene safene dal loro decorso nella coscia (si noti l'esistenza di zone di dilatazione). Vedi cartografia. Non esistono ad oggi evidenze di trombosi venose profonde o superficiali, recenti o postumi degli arti inferiori. A causa del calibro e del decorso delle vene grandi safene, la gestione di questa insufficienza venosa superficiale potrebbe essere effettuata mediante tecnica endovascolare (tipo radiofrequenza). Il trattamento con tecnica chimica endoluminale (Ecografia -sclerosi) potrebbe rivelarsi meno efficace. Nel frattempo continuare a indossare quotidianamente l'elastico compressivo.",pro
Italien,Vascolare,Echographie,Doppler arterioso di entrambi gli arti inferiori,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
- Le arterie iliache primarie, interne ed esterne sono permeabili con flusso normomodulato e velocità normali.
- Le arterie femorali comuni, superficiali e profonde sono permeabili con flusso normomodulato e velocità non accelerate.
- Le arterie poplitee e le arterie delle gambe sono permeabili fino distalmente con un flusso normomodulato.
 Conclusione: 
Ecografia Doppler arterioso degli arti inferiori senza anomalie.",pro
Italien,Neuro-ORL,IRM,RM cerebrale (iniettato),"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
Il cervello è stato esplorato mediante sequenze assiali T1, T2, T2 *, Diffusione, FLAIR e una sequenza EG 3D T1 dopo l'iniezione di Gadolinium (prodotto di contrasto).
Risultati
Parenchima cerebrale e liquidi
• Ischemia/sanguinamento: assenza di segni di recente lesione ischemica (ictus) o sanguinamento intracranico (emorragia o stigma emorragico).
• Anomalie del segnale: assenza di anomalie spontanee del segnale o aumento patologico del contrasto a livello sopra e infratentoriale (tronco encefalico, cervelletto e parenchima cerebrale).
• Masse/Edema: assenza di effetto massa intracranica. Le strutture della linea mediana sono a posto e non vi è alcuna deviazione o impegno cerebrale.
Sistema ventricolare e cisterne
• Il sistema ventricolare (V4 compreso) è simmetrico e di dimensioni normali (non dilatato).
• Gli spazi fluidi pericerebrali e le cisterne basali sono liberi.
Vasi e strutture ossee
• Arterie: pervietà delle arterie del poligono prossimale di Willis.
• Vene/Seni: Pervietà delle vene cerebrali e dei seni venosi durali.
• Ossa: le strutture ossee, la pneumatizzazione del cranio e dei tessuti molli pericranici non sono significative.
 Conclusione: 
 RM cervello senza anomalie rilevabili.",pro
Italien,Neuro-ORL,IRM,RM cerebro-midollare (SEP),"Indicazione clinica: 
Valutazione (iniziale/follow-up) della malattia infiammatoria demielinizzante del sistema nervoso centrale.
 Tecnica di imaging: 
 RM encefalico e midollare (Sequenze T1, T2, FLAIR, Diffusione, con iniezione di Gadolinium).
 Reperti: 
Cervello:
Carico della lesione sopratentoriale:
Presenza di più (n= XX) ipersegnali T2 / FLAIR nella sostanza bianca.
Topografia: periventricolare (con aspetto a “dita di Dawson” o “a cresta di gallo” alla giunzione calloso-marginale), iuxtacorticale e sottocorticale.
Segni di cronicità: compaiono diverse lesioni nell'iposegnale T1 (""buchi neri""), associate ad atrofia del corpo calloso e marcata atrofia cortico-sottocorticale.
Attività: potenziamento nodulare (o ad anello aperto) di una placca periventricolare destra.
Livello infratentoriale:
Presenza di lesioni (n= XX) del tronco encefalico (bulbo, ponte, mesencefalo) e del peduncolo cerebellare medio.
Assenza di miglioramento del contrasto o “buco nero” a questo livello.
Altri: sistema ventricolare centrato, non dilatato.
Midollo spinale:
Dimostrazione di una lesione focale con ipersegnale intramidollare T2 a livello T1 (D1), in situazione posterolaterale sinistra.
Attività: questa lesione mostra un miglioramento dopo l'iniezione.
Rispetto della statica e della morfologia spinale.
 Conclusione: 
Diffusione spaziale: lesioni sopratentoriali, infratentoriali e midollari.
Disseminazione temporale: coesistenza di lesioni con potenziamento attivo (periventricolare e midollare destra T1) e lesioni croniche (buchi neri, atrofia).
In totale: Tabella RM caratteristica di una malattia demielinizzante (SM) attiva con un carico lesionale significativo e segni di atrofia parenchimale.",pro
Italien,Neuro-ORL,IRM,RM cerebrale (CAI),"Indicazione clinica: 
[Valutazione delle vertigini/ipoacusia neurosensoriale/acufene...]
 Tecnica di imaging: 
Sequenze centrate sulla roccia (T2 HR 3D, T1 FS 3D pre e post- Gadolinium) e sequenze cerebrali standard (FLAIR, Diffusione, T1 3D gado).
 Reperti: 
Angoli cerebello-pontino e orecchie interne (CAI):
Morfologia: Assenza di processo espansivo dell'angolo cerebellopontino o del canale uditivo interno.
Nervi: Individuazione soddisfacente dei nervi del fascio acustico-facciale bilateralmente (VII, VIII).
Orecchio interno: segnale fluido normale dalle strutture labirintiche (coclea, vestibolo, canali semicircolari). Nessuna anomalia di potenziamento.
Vascolare: assenza di ansa vascolare conflittuale nelle aree di emergenza dei nervi cranici.
Parenchima cerebrale e spazi fluidi:
Assenza di lesioni focali sopra o infratentoriali di natura progressiva.
Sistema ventricolare sottile, simmetrico e centrato.
Permeabilità dei principali assi vascolari arteriosi e venosi.
 Conclusione: 
Esame normale.
Nessuna evidenza di uno schwannoma vestibolare o di un'altra lesione dell'angolo cerebellopontino.
Nessun conflitto neurovascolare visibile.",pro
Italien,Neuro-ORL,IRM,RM del midollo spinale,"Indicazione clinica: 
[Da completare: es. Mielopatia? Bilancio compresso? Trauma?]
 Tecnica di imaging: 
Sequenze sagittali (T1, T2, STIR) e assiali T2 sfalsate lungo l'altezza della colonna.
 Reperti: 
Midollo spinale: morfologia e segnale normali su tutte le sequenze. Il cono terminale sporge di fronte a L1 - L2.
Spazio epidurale: assenza di effetto epidurale, di raccolta o di massa sul sacco durale.
Canale spinale: calibro conservato. Nessuna stenosi duttale o foraminale significativa.
Strutture ossee: rispetto dell'allineamento vertebrale posteriore. Nessun collasso vertebrale o anomalia sospetta del segnale osseo.
Parti morbide: insignificanti.
 Conclusione: 
 RM midollare senza particolarità.
Assenza di compressione del midollo spinale o anomalia del segnale del midollo.",pro
Italien,Neuro-ORL,IRM,RM Bancomat,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
 RM delle due ATM eseguite in sezioni sagittali coronali e oblique, in T1 e PD in posizioni a bocca chiusa e a bocca aperta.
 Reperti: 
-Morfologia ossea dei condili mandibolari e delle cavità glenoidee normale, senza rimodellamento degenerativo o lesioni osteocondrali.
-Posizione normale dei dischi articolari a bocca chiusa con conservazione della forma biconcava.
-Mobilità del disco soddisfacente all'apertura della bocca, senza segni di bozzolo o spostamento anteriore persistente.
-Nessun versamento intrarticolare o segni infiammatori.
-Strutture muscolari peri-articolari (muscoli pterigodiali, masseteri, temporali) senza anomalie degne di nota
 Conclusione: 
 RM ATM entro i limiti normali.
Nessuna anomalia morfologica o funzionale evidente.",pro
Italien,Neuro-ORL,IRM,RM dell'orbita,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
Assenza di anomalie del nervo ottico
Assenza di anomalie dei bulbi oculari
Assenza di anomalie del grasso intra o extra conale.
Assenza di anomalie dei muscoli oculomotori 
 Conclusione: 
[Da completare]",pro
Italien,Neuro-ORL,IRM,** RM Cerebrale + midollo spinale,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
A livello cerebrale,
Piano tentoriale,
 V4 al posto delle dimensioni normali.
Nessuna anomalia del segnale delle strutture del tronco encefalico e del cervelletto. 
Angoli cerebello-pontini liberi.
Piano tentoriale superiore, 
Strutture mediane in atto.
Sistema ventricolare di dimensioni normali. 
Assenza di anomalie del segnale nel parenchima cerebrale. 
A livello spinale,
Assenza di anomalie del midollo
Assenza di anomalia della cerniera cervico-occipitale.
Gli spazi fluidi perimedollari sono rispettati
Assenza di anomalia disco-vertebrale.
Cono terminale in sede, morfologia normale
Midollo spinale di aspetto normale.
 Conclusione: 
[Da completare]",pro
Italien,Neuro-ORL,IRM,** RM Angoli pontini cerebellari,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
Angoli pontini cerebellari, 
 Gli angoli pontini cerebellari sono liberi.
 Aspetto normale dei pacchetti acustici facciali.
I canali uditivi interni sono di calibro e segnale normali 
I serbatoi base sono gratuiti.
Nel resto del cervello, 
Le strutture mediane sono a posto.
Il sistema ventricolare è di morfologia e dimensioni normali.
Assenza di anomalia del segnale del parenchima cerebrale.
Assenza di anomalie del segnale dal tronco encefalico e dal cervelletto.
Ghiandola pituitaria 
A livello ipofisario,
Aspetto morfologico normale della sella turcica con ghiandola pituitaria di spessore normale, segnale spontaneo normale e potenziamento omogeneo dopo iniezione di Gadolinium.
Il gambo dell'ipofisi è al suo posto, di spessore normale, segnale normale.
Aspetto normale della regione ipotalamica e del chiasma ottico.
Aspetto normale dei seni cavernosi.
A livello cerebrale,
Le strutture mediane sono a posto.
Il sistema ventricolare è di morfologia e dimensioni normali.
Assenza di anomalie del segnale o aumento patologico del contrasto del parenchima cerebrale 
 Conclusione: 
[Da completare]",pro
Italien,Neuro-ORL,IRM,RM Cavum,"Indicazione clinica: 
[Da completare]
 Tecnica di imaging: 
[Da completare]
 Reperti: 
-Ispessimento del tessuto in erba della parete posteriore e laterale destra della cavità che sporge nel lume del rinofaringe. 
-Questo ispessimento è un iposegnale T1, di segnale intermedio T2, e potenziato in modo intenso e omogeneo dopo l'iniezione di Gadolinium.
- Dietro invade lo spazio retrofaringeo prevertebrale e i muscoli prevertebrali di sinistra.
- Lateralmente invade i muscoli tensori del palato molle, il muscolo elevatore del palato e lo spazio parafarnigeo.
-Su e in avanti, estensione verso la cavità nasale sinistra
-Integrità dello spazio carotideo.
-Integrità della fossa pterigo palatina e dei muscoli pterigoidei.
-Integrità delle fosse infratemporali.
-Assenza di estensione peri-nervosa o endocranica.
-Integrità dell'orofaringe.
-Riempimento della tromba di Eustachio e delle cellule mastoidee.
-Assenza di adenomegalia cervicale.
-Integrità delle ghiandole salivari.
-Assenza di anomalia del segnale osseo spugnoso.
Inoltre;
 
Assenza di anomalie spontanee del segnale o aumento patologico del contrasto del parenchima cerebrale a livello sopra e infratentoriale.
Sistema ventricolare in sede non dilatato.
Strutture mediane in atto.
 Conclusione: 
[Da completare]",pro
